Player,Pos,AV,From,To
Ricky Williams\WillRi01,RB,3,2002,2003
Ricky Williams\WillRi22,RB,0,1985,1987
Rob Carpenter\CarpRo01,RB,44,1977,1986
Rob Lytle\LytlRo00,RB,17,1977,1983
Rob Scribner\ScriRo00,RB,5,1973,1976
Robb Riddick\RiddRo00,RB,18,1981,1988
Robert Alexander\AlexRo20,RB,0,1982,1983
Robert Burns\BurnBo00,RB,3,1974,1974
Robert Chancey\ChanRo20,RB,3,1997,2000
Robert Delpino\DelpRo00,RB,27,1988,1993
Robert DiRico\DiRiRo20,RB,1,1987,1987
Robert Douglas\DougRo00,RB,0,2007,2007
Robert Drummond\DrumRo00,RB,3,1989,1991
Robert Edwards\EdwaRo00,RB,13,1998,2002
Robert Farmer\FarmRo20,RB,0,1999,1999
Robert Green\GreeRo00,RB,13,1992,1997
Robert Hardy\HardRo22,RB,0,1991,1991
Robert Holcombe\HolcRo00,RB,16,1998,2004
Robert Holmes\HolmRo01,RB,31,1968,1975
Robert Hughes\HughRo00,RB,1,2012,2014
Robert Kelley\KellRo00,RB,6,2016,2018
Robert Lavette\LaveRo20,RB,0,1985,1987
Robert Miller\MillRo00,RB,16,1975,1980
Robert Newhouse\NewhRo00,RB,54,1972,1983
Robert Parker\ParkRo20,RB,1,1987,1987
Robert Smith\SmitRo00,RB,68,1993,2000
Robert Staten\StatRo20,RB,0,1996,1996
Robert Turbin\TurbRo00,RB,17,2012,2019
Robert Turner\TurnRo20,RB,0,1978,1978
Robert Walker\WalkRo20,RB,0,1996,1996
Robert Weathers\WeatRo00,RB,7,1982,1986
Robert Wilson\WilsRo00,RB,2,1991,1996
Roc Thomas\ThomRo05,RB,0,2018,2018
Rocky Bleier\BleiRo00,RB,52,1968,1980
Rocky Thompson\ThomRo03,RB,4,1971,1973
Rod McNeill\McNeRo00,RB,4,1974,1976
Rod Phillips\PhilRo00,RB,6,1975,1980
Rod Smart\SmarRo00,RB,1,2001,2005
Rod Smith\SmitRo06,RB,5,2015,2019
Rodney Carter\CartRo00,RB,10,1987,1989
Rodney Culver\CulvRo00,RB,5,1992,1995
Rodney Hampton\HampRo00,RB,61,1990,1997
Rodney Tate\TateRo01,RB,2,1982,1984
Rodney Thomas\ThomRo00,RB,19,1995,2001
Roger Craig\CraiRo00,RB,115,1983,1993
Roger Graham\GrahRo20,RB,0,1996,1996
Roger Lawson\LawsRo00,RB,4,1972,1973
Roger Vick\VickRo00,RB,12,1987,1990
Roland Harper\HarpRo00,RB,34,1975,1982
Roland Hooks\HookRo00,RB,18,1976,1982
Ron Davenport\DaveRo00,RB,18,1985,1989
Ron Dayne\DaynRo00,RB,25,2000,2007
Ron Groce\GrocRo00,RB,0,1976,1976
Ron Johnson\JohnRo02,RB,65,1969,1975
Ron Lamb\LambRo00,RB,2,1968,1972
Ron Lee\LeexRo00,RB,9,1976,1978
Ron McBride\McBrRo20,RB,0,1973,1973
Ron Rector\RectRo00,RB,1,1966,1967
Ron Rivers\RiveRo00,RB,8,1995,2000
Ron Sayers\SayeRo00,RB,0,1969,1969
Ron Springs\SpriRo00,RB,40,1979,1986
Ron Wolfley\WolfRo00,RB,2,1985,1995
Ronald Humphrey\HumpRo00,RB,2,1994,1995
Ronald Jones\JoneRo01,RB,7,2018,2019
Ronald Moore\MoorRo01,RB,14,1993,1998
Ronald Scott\ScotRo20,RB,2,1987,1987
Rondell Mealey\MealRo00,RB,2,2001,2002
Ronney Jenkins\JenkRo00,RB,3,2000,2003
Ronnie Blye\BlyeRo00,RB,4,1968,1969
Ronnie Brown\BrowRo05,RB,48,2005,2014
Ronnie Bull\BullRo00,RB,42,1962,1971
Ronnie Coleman\ColeRo00,RB,40,1974,1981
Ronnie Cruz\CruzRo00,RB,0,2005,2006
Ronnie Hillman\HillRo00,RB,18,2012,2016
Ronnie Wingo\WingRo00,RB,0,2013,2014
Roosevelt Leaks\LeakRo00,RB,29,1975,1983
Roosevelt Potts\PottRo00,RB,17,1993,1998
Ross Montgomery\MontRo00,RB,3,1969,1970
Roy Helu\HeluRo00,RB,14,2011,2015
Roy Hopkins\HopkRo00,RB,10,1967,1970
Roy Shivers\ShivRo00,RB,12,1966,1972
Royce Freeman\FreeRo00,RB,8,2018,2019
Rudi Johnson\JohnRu00,RB,52,2001,2008
Rudy Harris\HarrRu20,RB,1,1993,1994
Rueben Mayes\MayeRu00,RB,30,1986,1993
Rufus Crawford\CrawRu20,RB,0,1978,1978
Rupert Grant\GranRu21,RB,0,1995,1995
Russ Smith\SmitRu00,RB,10,1967,1970
Russell Davis\DaviRu00,RB,4,1980,1983
Russell Hansbrough\HansRu00,RB,0,2016,2016
Russell White\WhitRu20,RB,0,1993,1993
Ryan Benjamin\BenjRy20,RB,0,1993,1993
Ryan Christopherson\ChriRy20,RB,0,1995,1996
Ryan Grant\GranRy00,RB,38,2007,2012
Ryan Mathews\MathRy00,RB,48,2010,2016
Ryan Moats\MoatRy00,RB,7,2005,2009
Ryan Nall\NallRy00,RB,0,2019,2019
Ryan Terry\TerrRy20,RB,0,1995,1996
Ryan Torain\ToraRy00,RB,5,2008,2012
Ryan Williams\WillRy00,RB,1,2012,2014
Ryquell Armstead\ArmsRy00,RB,2,2019,2019
Sam Cunningham\CunnSa00,RB,69,1973,1982
Sam Harrell\HarrSa20,RB,0,1981,1987
Sam Scarber\ScarSa00,RB,4,1975,1976
Samaje Perine\PeriSa00,RB,5,2017,2019
Samkon Gado\GadoSa00,RB,8,2005,2009
Sammie Smith\SmitSa00,RB,15,1989,1992
Sammy Johnson\JohnSa00,RB,10,1974,1979
Sammy Morris\MorrSa00,RB,33,2000,2011
Sammy Price\PricSa00,RB,3,1966,1968
Sammy Winder\WindSa00,RB,47,1982,1990
Saquon Barkley\BarkSa00,RB,23,2018,2019
Scoop Gillespie\GillSc20,RB,0,1984,1984
Scott Caldwell\CaldSc20,RB,1,1987,1987
Scott Dierking\DierSc00,RB,33,1977,1984
Scott Greene\GreeSc00,RB,3,1996,1999
Scott Laidlaw\LaidSc00,RB,16,1975,1980
Scott Lockwood\LockSc00,RB,1,1992,1993
Scott Stauch\StauSc20,RB,0,1981,1981
Scott Williams\WillSc00,RB,1,1986,1988
Scottie Graham\GrahSc00,RB,8,1992,1997
Sean Bennett\BennSe00,RB,1,1999,2002
Secdrick McIntyre\McInSe00,RB,1,1977,1977
Sedrick Irvin\IrviSe00,RB,4,1999,2000
Sedrick Shaw\ShawSe00,RB,2,1997,1999
Selvin Young\YounSe00,RB,9,2007,2008
Senorise Perry\PerrSe00,RB,0,2014,2019
Shane Vereen\VereSh00,RB,27,2011,2017
Shaud Williams\WillSh01,RB,3,2004,2006
Shaun Alexander\AlexSh00,RB,79,2000,2008
Shaun Chapas\ChapSh00,RB,0,2011,2012
Shaun Draughn\DrauSh00,RB,7,2011,2016
Shaun Wilson\WilsSh01,RB,0,2018,2018
Shawn Bryson\BrysSh00,RB,22,2000,2006
Sheldon Canley\CanlSh20,RB,0,1992,1992
Shelley Poole\PoolSh20,RB,0,1987,1987
Sherman Smith\SmitSh00,RB,56,1976,1983
Sherman Williams\WillSh00,RB,11,1995,1999
Sherriden May\MayxSh20,RB,0,1995,1996
Shonn Greene\GreeSh00,RB,25,2009,2014
Shyrone Stith\StitSh00,RB,0,2000,2002
Sid Blanks\BlanSi00,RB,23,1964,1970
Sidney Thornton\ThorSi00,RB,15,1977,1982
Silas Redd\ReddSi00,RB,1,2014,2014
Siran Stacy\StacSi20,RB,0,1992,1992
Skip Hicks\HickSk00,RB,9,1998,2001
Sonny Campbell\CampSo00,RB,3,1970,1971
Sonny Collins\CollSo00,RB,3,1976,1976
Sonny Davis\DaviSo00,RB,2,1971,1971
Sony Michel\MichSo00,RB,12,2018,2019
Spark Clark\ClarSp20,RB,0,1987,1987
Speedy Neal\NealSp00,RB,2,1984,1984
Spencer George\GeorSp00,RB,0,1997,1999
Spencer Tillman\TillSp00,RB,1,1987,1994
Spencer Ware\WareSp00,RB,18,2013,2019
Stacey Driver\DrivSt20,RB,0,1987,1987
Stacey Mack\MackSt00,RB,14,1999,2003
Stacy Tutt\TuttSt00,RB,0,2006,2007
Stan Edwards\EdwaSt00,RB,7,1982,1987
Stan Fritts\FritSt00,RB,7,1975,1976
Stan Mitchell\MitcSt01,RB,11,1966,1970
Stan Winfrey\WinfSt00,RB,3,1975,1977
Stanford Jennings\JennSt00,RB,19,1984,1992
Stanley Havili\HaviSt00,RB,1,2012,2014
Stanley Wilson\WilsSt00,RB,12,1983,1988
Stefan Logan\LogaSt00,RB,2,2009,2012
Stepfan Taylor\TaylSt00,RB,3,2013,2016
Stephen Davis\DaviSt00,RB,66,1996,2006
Stephen Griffin\GrifSt20,RB,0,1987,1987
Stevan Ridley\RidlSt00,RB,27,2011,2018
Steve Atkins\AtkiSt00,RB,3,1979,1981
Steve Avery\AverSt00,RB,1,1989,1995
Steve Bartalo\BartSt01,RB,0,1987,1987
Steve Crosby\CrosSt00,RB,1,1974,1976
Steve Davis\DaviSt01,RB,14,1972,1976
Steve Engel\EngeSt20,RB,0,1970,1970
Steve Griffin\GrifSt21,RB,0,1987,1987
Steve Harkey\HarkSt00,RB,4,1971,1972
Steve Harris\HarrSt20,RB,0,1987,1987
Steve Jones\JoneSt00,RB,16,1973,1978
Steve Morse\MorsSt20,RB,0,1985,1985
Steve Owens\OwenSt00,RB,40,1970,1974
Steve Powell\PoweSt21,RB,0,1978,1979
Steve Rogers\RogeSt00,RB,0,1975,1976
Steve Slaton\SlatSt00,RB,20,2008,2011
Steve Smith\SmitSt00,RB,24,1987,1995
Steve Strachan\StraSt00,RB,1,1985,1989
Steve Thurlow\ThurSt00,RB,15,1964,1968
Steven Jackson\JackSt00,RB,92,2004,2015
Steven Schnarr\SchnSt20,RB,0,1975,1975
Storm Johnson\JohnSt03,RB,0,2014,2014
Stump Mitchell\MitcSt00,RB,50,1981,1989
Sultan McCullough\McCuSu00,RB,0,2003,2003
T.J. Duckett\DuckT.00,RB,23,2002,2008
T.J. Logan\LogaT.00,RB,0,2018,2019
T.J. Yeldon\YeldT.00,RB,21,2015,2019
Taiwan Jones\JoneTa00,RB,3,2011,2019
Taquan Mizzell\MizzTa00,RB,1,2017,2018
Tarik Cohen\CoheTa00,RB,21,2017,2019
Tashard Choice\ChoiTa00,RB,14,2008,2013
Tatum Bell\BellTa00,RB,23,2004,2008
Tauren Poole\PoolTa00,RB,0,2012,2014
Tavian Banks\BankTa00,RB,3,1998,1999
Ted Alflen\AlflTe20,RB,0,1969,1969
Ted Brown\BrowTe00,RB,58,1979,1986
Ted Farmer\FarmTe20,RB,0,1978,1978
Ted McKnight\McKnTe00,RB,22,1977,1982
Teddy Bailey\BailTe20,RB,0,1967,1969
Teddy Washington\WashTe00,RB,0,1968,1968
Terdell Middleton\MiddTe00,RB,21,1977,1983
Terrance Ganaway\GanaTe00,RB,0,2012,2012
Terrance West\WestTe00,RB,12,2014,2017
Terrell Davis+\DaviTe00,RB,79,1995,2001
Terrell Fletcher\FletTe00,RB,25,1995,2002
Terrell Watson\WatsTe00,RB,0,2016,2017
Terrence Flagler\FlagTe00,RB,6,1987,1991
Terrence Magee\MageTe00,RB,0,2015,2017
Terron Ward\WardTe00,RB,3,2015,2017
Terry Allen\AlleTe00,RB,72,1991,2001
Terry Butler\ButlTe20,RB,0,2005,2005
Terry Cole\ColeTe00,RB,8,1968,1971
Terry Erwin\ErwiTe00,RB,1,1968,1968
Terry Kirby\KirbTe00,RB,56,1993,2002
Terry Kunz\KunzTe00,RB,0,1976,1976
Terry Miller\MillTe00,RB,16,1978,1981
Terry Richardson\RichTe21,RB,0,1996,1996
Terry Robiskie\RobiTe00,RB,6,1977,1981
Terry Wells\WellTe00,RB,1,1974,1975
Tevin Coleman\ColeTe01,RB,33,2015,2019
Theo Riddick\RiddTh00,RB,26,2013,2018
Theotis Brown\BrowTh00,RB,27,1979,1984
Thomas Clayton\ClayTh00,RB,0,2010,2011
Thomas Jones\JoneTh00,RB,78,2000,2011
Thomas Lott\LottTh20,RB,0,1979,1979
Thomas Rawls\RawlTh00,RB,12,2015,2018
Thomas Sanders\SandTh00,RB,12,1985,1991
Thomas Smith\SmitTh20,RB,0,1973,1973
Thurman Thomas+\ThomTh00,RB,138,1988,2000
Tiki Barber\BarbTi00,RB,118,1997,2006
Tim Biakabutuka\BiakTi00,RB,27,1996,2001
Tim Castille\CastTi20,RB,1,2008,2010
Tim Hall\HallTi20,RB,1,1996,1997
Tim Harris\HarrTi20,RB,0,1983,1983
Tim Hightower\HighTi00,RB,28,2008,2016
Tim Jessie\JessTi20,RB,0,1987,1987
Tim Lester\LestTi00,RB,4,1992,1999
Tim Manoa\ManoTi00,RB,9,1987,1991
Tim Newman\NewmTi20,RB,0,1987,1987
Tim Spencer\SpenTi00,RB,15,1985,1990
Tim Tyrrell\TyrrTi20,RB,1,1984,1989
Tim Worley\WorlTi00,RB,14,1989,1994
Timmy Brown\BrowTi01,RB,76,1959,1968
Timmy Newsome\NewsTi00,RB,26,1980,1988
Timmy Smith\SmitTi00,RB,4,1987,1990
Tion Green\GreeTi00,RB,1,2017,2017
Toby Gerhart\GerhTo00,RB,17,2010,2015
Todd Gurley\GurlTo01,RB,53,2015,2019
Todd McNair\McNaTo00,RB,29,1989,1996
Todd Spencer\SpenTo00,RB,1,1984,1987
Tom Bailey\BailTo00,RB,4,1971,1974
Tom Barrington\BarrTo00,RB,6,1966,1970
Tom Brown\BrowTo00,RB,1,1987,1989
Tom Donchez\DoncTo20,RB,0,1975,1975
Tom Newton\NewtTo00,RB,9,1977,1982
Tom Rathman\RathTo00,RB,46,1986,1994
Tom Sullivan\SullTo00,RB,39,1972,1978
Tom Thompson\ThomTo00,RB,0,1974,1974
Tom Woodeshick\WoodTo01,RB,42,1963,1972
Tommie Agee\AgeeTo00,RB,6,1988,1994
Tommie Smiley\SmilTo00,RB,4,1968,1970
Tommy Mason\MasoTo00,RB,60,1961,1971
Tommy Reamon\ReamTo00,RB,4,1976,1976
Tommy Vardell\VardTo00,RB,21,1992,1999
Tony Baker\BakeTo00,RB,25,1968,1975
Tony Baker\BakeTo20,RB,0,1986,1989
Tony Benjamin\BenjTo00,RB,1,1977,1979
Tony Boddie\BoddTo20,RB,1,1986,1987
Tony Brooks-James\BrooTo01,RB,0,2019,2019
Tony Brooks\BrooTo21,RB,0,1992,1992
Tony Burse\BursTo20,RB,0,1987,1987
Tony Carter\CartTo00,RB,12,1994,2002
Tony Cherry\CherTo20,RB,1,1986,1987
Tony Collins\CollTo01,RB,55,1981,1990
Tony Davis\DaviTo00,RB,5,1976,1981
Tony Dollinger\DollTo20,RB,0,1987,1987
Tony Dorsett+\DorsTo00,RB,138,1977,1988
Tony Fiammetta\FiamTo00,RB,1,2009,2014
Tony Fisher\FishTo00,RB,17,2002,2006
Tony Galbreath\GalbTo00,RB,70,1976,1987
Tony Green\GreeTo01,RB,3,1978,1979
Tony Hollings\HollTo00,RB,2,2003,2005
Tony Hunt\HuntTo01,RB,0,2007,2008
Tony Hunter\HuntTo20,RB,0,1987,1987
Tony Jeffery\JeffTo20,RB,0,1988,1988
Tony Jordan\JordTo00,RB,2,1988,1989
Tony Lorick\LoriTo00,RB,31,1964,1969
Tony Mumford\MumfTo20,RB,0,1985,1985
Tony Nathan\NathTo00,RB,70,1979,1987
Tony Paige\PaigTo00,RB,20,1984,1992
Tony Pollard\PollTo00,RB,4,2019,2019
Tony Reed\ReedTo00,RB,35,1977,1981
Tony Smith\SmitTo00,RB,4,1992,1994
Tony Taylor\TaylTo00,RB,0,2001,2001
Tony Vinson\VinsTo00,RB,0,1997,1999
Topper Clemons\ClemTo21,RB,0,1987,1987
Toussaint Tyler\TyleTo00,RB,3,1981,1982
Tracy Johnson\JohnTr00,RB,2,1989,1996
Travaris Cadet\CadeTr00,RB,8,2012,2018
Travis Henry\HenrTr00,RB,46,2001,2007
Travis Homer\HomeTr00,RB,1,2019,2019
Travis Jervey\JervTr00,RB,4,1995,2003
Travis Minor\MinoTr00,RB,11,2001,2008
Travis Prentice\PrenTr00,RB,4,2000,2001
Travis Reece\ReecTr00,RB,0,1998,1999
Travis Stephens\StepTr01,RB,0,2002,2002
Travis Williams\WillTr00,RB,22,1967,1971
Trayveon Williams\WillTr06,RB,0,2019,2019
Tre Madden\MaddTr01,RB,1,2017,2018
Tre Mason\MasoTr00,RB,7,2014,2015
Tremayne Stephens\StepTr00,RB,2,1998,1999
Trent Richardson\RichTr00,RB,18,2012,2014
Trenton Cannon\CannTr00,RB,2,2018,2019
Trevor Cobb\CobbTr20,RB,0,1994,1994
Trey Edmunds\EdmuTr00,RB,1,2017,2019
Trey Watts\WattTr00,RB,0,2014,2015
Trey Williams\WillTr03,RB,0,2015,2015
Tristan Davis\DaviTr01,RB,0,2012,2012
Troy Davis\DaviTr00,RB,5,1997,1999
Troy Fleming\FlemTr00,RB,3,2004,2005
Troy Hambrick\HambTr00,RB,13,2000,2004
Troymaine Pope\PopeTr00,RB,0,2016,2019
Trung Canidate\CaniTr00,RB,11,2000,2003
Tucker Frederickson\FredTu00,RB,35,1965,1971
Ty Douthard\DoutTy20,RB,0,1997,1997
Ty Johnson\JohnTy02,RB,2,2019,2019
Tyler Ervin\ErviTy00,RB,0,2016,2019
Tyler Gaffney\GaffTy00,RB,,2014,2014
Tyler Varga\VargTy00,RB,0,2015,2015
Tyrell Sutton\SuttTy00,RB,2,2009,2010
Tyrone Anthony\AnthTy00,RB,4,1984,1985
Tyrone Montgomery\MontTy00,RB,3,1993,1994
Tyrone Rush\RushTy20,RB,0,1994,1994
Tyrone Wheatley\WheaTy00,RB,45,1995,2004
Tyson Thompson\ThomTy00,RB,1,2005,2007
Undra Johnson\JohnUn20,RB,0,1989,1989
Vagas Ferguson\FergVa00,RB,10,1980,1983
Vai Sikahema\SikaVa00,RB,11,1986,1993
Van Williams\WillVa00,RB,2,1983,1987
Vance Mueller\MuelVa00,RB,7,1986,1990
Vaughn Dunbar\DunbVa00,RB,7,1992,1995
Vaughn Hebron\HebrVa00,RB,12,1993,1998
Vernand Morency\MoreVe00,RB,8,2005,2007
Verron Haynes\HaynVe00,RB,8,2002,2009
Vic Nyvall\NyvaVi00,RB,0,1970,1970
Vick Ballard\BallVi00,RB,5,2012,2014
Vick King\KingVi00,RB,0,2004,2004
Vickey Ray Anderson\AndeVi20,RB,0,1980,1980
Victor Floyd\FloyVi20,RB,0,1989,1989
Victor Jones\JoneVi20,RB,1,1990,1994
Vilnis Ezerins\EzerVi00,RB,0,1968,1968
Vince Clements\ClemVi00,RB,7,1972,1973
Vince Kendrick\KendVi00,RB,1,1974,1976
Vince Thompson\ThomVi00,RB,3,1981,1983
Vince Williams\WillVi00,RB,1,1982,1983
Vince Workman\WorkVi00,RB,23,1989,1996
Vincent Alexander\AlexVi20,RB,1,1987,1987
Virgil Robinson\RobiVi00,RB,2,1971,1972
Vonta Leach\LeacVo00,RB,8,2004,2013
Wali Lundy\LundWa00,RB,5,2006,2006
Walt Easley\EaslWa00,RB,2,1981,1982
Walt Garrison\GarrWa00,RB,59,1966,1974
Walter Abercrombie\AberWa00,RB,36,1982,1988
Walter Dean\DeanWa20,RB,0,1991,1991
Walter Holman\HolmWa20,RB,0,1987,1987
Walter Landers\LandWa20,RB,1,1978,1979
Walter Payton+\PaytWa00,RB,168,1975,1987
Walter Williams\WillWa02,RB,0,2004,2005
Wandy Williams\WillWa01,RB,1,1969,1970
Ward Walsh\WalsWa00,RB,1,1971,1972
Warren Loving\LoviWa20,RB,0,1987,1987
Warren Marshall\MarsWa20,RB,0,1987,1987
Warren Williams\WillWa00,RB,10,1988,1993
Warrick Dunn\DunnWa00,RB,122,1997,2008
Wayne Gallman\GallWa00,RB,7,2017,2019
Wayne Morris\MorrWa00,RB,35,1976,1984
Wayne Mosley\MoslWa00,RB,0,1974,1974
Wayne Patrick\PatrWa00,RB,15,1968,1972
Wayne Wilson\WilsWa02,RB,32,1979,1987
Wendell Hayes\HayeWe00,RB,47,1963,1974
Wendell Smallwood\SmalWe00,RB,10,2016,2019
Wendell Tyler\TyleWe00,RB,66,1977,1986
Wes Bender\BendWe00,RB,0,1994,1997
Wes Hills\HillWe00,RB,0,2019,2019
Wes Ours\OursWe00,RB,0,2001,2001
Wilbert Haslip\HaslWi20,RB,0,1979,1979
Wilbert Montgomery\MontWi00,RB,81,1977,1985
Wilbur Jackson\JackWi01,RB,44,1974,1982
Will Ta'ufo'ou\TaufWi00,RB,0,2012,2014
Willard Harrell\HarrWi01,RB,23,1975,1984
Willard Reaves\ReavWi20,RB,0,1989,1989
William Andrews\AndrWi00,RB,75,1979,1986
William Bell\BellWi20,RB,0,1994,1996
William Green\GreeWi01,RB,15,2002,2005
William Howard\HowaWi00,RB,7,1988,1989
William Powell\PoweWi00,RB,2,2012,2014
Willie Asbury\AsbuWi00,RB,11,1966,1968
Willie Belton\BeltWi00,RB,2,1971,1974
Willie Ellison\ElliWi00,RB,40,1967,1974
Willie Joyner\JoynWi20,RB,0,1984,1984
Willie McClendon\McClWi00,RB,3,1979,1982
Willie Parker\ParkWi00,RB,47,2004,2009
Willie Rodgers\RodgWi00,RB,8,1972,1975
Willie Shelby\ShelWi00,RB,1,1976,1978
Willie Spencer\SpenWi00,RB,3,1976,1978
Willie Turral\TurrWi20,RB,0,1987,1987
Willis Crenshaw\CrenWi00,RB,28,1964,1970
Willis McGahee\McGaWi00,RB,66,2004,2013
Wilmont Perry\PerrWi00,RB,2,1998,1999
Winslow Oliver\OlivWi00,RB,6,1996,2000
Woodie Pippens\PippWo20,RB,0,1987,1987
Woodrow Dantzler\DantWo00,RB,2,2002,2003
Woody Bennett\BennWo00,RB,17,1979,1988
Woody Campbell\CampWo00,RB,18,1967,1971
Woody Green\GreeWo00,RB,17,1974,1976
Woody Thompson\ThomWo00,RB,9,1975,1977
Xavier Omon\OmonXa00,RB,0,2008,2009
Yonel Jourdain\JourYo20,RB,1,1994,1995
Zac Stacy\StacZa00,RB,11,2013,2015
Zach Bauman\BaumZa00,RB,,2014,2014
Zach Zenner\ZennZa00,RB,6,2015,2019
Zachary Dixon\DixoZa00,RB,9,1979,1984
Zurlon Tipton\TiptZu01,RB,2,2014,2015
